"Name";"Category";"Author";"URL"
"#Bulk_extractor_";"file_analysis";"simsong";"http://downloads.digitalcorpora.org/downloads/bulk_extractor/bulk_extractor-1.5.5-windowsinstaller.exe"
"4n6-scripts";"suite";"cheeky4n6monkey";"https://github.com/cheeky4n6monkey/4n6-scripts/archive/master.zip"
"AD-control-paths";"ad";"anssi";"https://github.com/ANSSI-FR/AD-control-paths/archive/master.zip"
"ADTimeline";"ad";"anssi";"https://github.com/ANSSI-FR/ADTimeline/archive/master.zip"
"AmcacheParser";"execution";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/AmcacheParser.zip"
"AnalyzeMFT";"filesystem";"dkovar";"https://github.com/dkovar/analyzeMFT/archive/master.zip"
"Android-forensics";"mobile";"nowsecure";"https://github.com/nowsecure/android-forensics/archive/master.zip"
"Apache_logs_viewer";"logs";"iannet";"https://www.apacheviewer.com/download/"
"AppCompatCacheParser";"execution";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/AppCompatCacheParser.zip"
"Appid_calc";"execution";"hexacorn";"http://www.hexacorn.com/tools/appid_calc.pl"
"Autopsy";"filesystem";"Sleuthkit";"https://github.com/sleuthkit/autopsy/archive/develop.zip"
"Autopsy_release";"filesystem";"Sleuthkit";"https://api.github.com/repos/sleuthkit/autopsy/releases/latest"
"Autorunner_release";"registry,persistence";"woanware";"https://api.github.com/repos/woanware/autorunner/releases/latest"
"Bits_parser";"malware";"anssi";"https://github.com/ANSSI-FR/bits_parser/archive/master.zip"
"Block-parser";"malware";"dunwoody";"https://github.com/matthewdunwoody/block-parser/archive/master.zip"
"BlueScreenView";"system";"nirsoft";"https://www.nirsoft.net/utils/bluescreenview.zip"
"Bmc-tools";"user_activity";"anssi";"https://github.com/ANSSI-FR/bmc-tools/archive/master.zip"
"BooLet";"events";"boolaz";"https://github.com/boolaz/BooLet/archive/master.zip"
"Bootcode_parser";"malware";"anssi";"https://github.com/ANSSI-FR/bootcode_parser/archive/master.zip"
"BrowsingHistoryView";"browser";"nirsoft";"https://www.nirsoft.net/utils/browsinghistoryview.zip"
"Bstrings";"file_analysis";"zimmerman";"https://f001.backblazeb2.com/file/EricZimmermanTools/bstrings.zip"
"Bulk_extractor_enhanced_";"file_analysis";"kazamiya";"https://www.kazamiya.net/files/projects/bulk_extractor-rec03_x64.zip"
